Dimensión
Diseño muestral
DIRECTORIO
SECUENCIA_P
ORDEN
FEX_C
SEGMENTO
ESTRATO2020
MPIO
P1_DEPARTAMENTO
P1_MUNICIPIO
P6435
Calidad interna de la vivienda
Zona de ubicación de la vivienda
CLASE
Infraestructura vial
P2102
P3155
P3156
Constitución de la vivienda
P4005
P4015
P4567
Servicios públicos
P8520S1
P8520S5
P8520S3
P8520S4
Deterioro de la vivienda
P3157S1
P3157S2
P3157S3
P3157S4
P3158
Calidad del entorno
Perturbaciones ambientales
P5661S1
P5661S2
P5661S3
P5661S4
P5661S5
P5661S6
P5661S7
P5661S9
Riesgo de la vivienda
P4065S1
P4065S2
P4065S3
P4065S4
P4065S5
Indicadores de seguridad
Hurto
Homicidios
Secuestro
Extorsión
Violencia interpersonal
Violencia intrafamiliar
Índice de interrelación de problemáticas
Índice de Incidencia del Conflicto Armado
Ingresos y estilo de vida
Hacinamiento
CANT_PERSONAS_HOGAR
P5000
P5010
Ingresos brutos del hogar
I_HOGAR
PERCAPITA
I_UGASTO
Nivel educativo
P8587
Caracterización del hogar
Sexo del individuo
P6020
Sexo del jefe del hogar
Parentesco con el jefe del hogar
P6051
Edad/Generación
P6040
Resultados saber 11
Puntaje promedio – Matemáticas
Puntaje promedio – Lectura crítica
Percepción sentimental
Medición evaluativa
P1927
Medición afectiva
P1901
P1903
P1904
Medición eudaimónica
P1905
Percepción material
Percepción de seguridad financiera
P9090
Auto-percepción de pobreza
P5230
Percepción de inseguridad
P9010
P1898
